IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
54.169.229.188,443,443,true,SIN,Asia Pacific,SG,Singapore,220,9.85
51.21.48.77,443,443,true,ARN,Europe,SE,Stockholm,395,9.84
35.95.62.55,443,443,true,SEA,North America,US,Seattle,247,9.83
54.212.99.239,443,443,true,PDX,North America,US,Portland,250,9.82
34.222.135.204,443,443,true,SEA,North America,US,Seattle,287,9.82
52.42.71.111,443,443,true,PDX,North America,US,Portland,291,9.81
35.92.162.86,443,443,true,SEA,North America,US,Seattle,232,9.80
52.15.115.215,8443,443,true,YYZ,North America,CA,Toronto,295,9.79
50.18.25.238,443,443,true,SJC,North America,US,San Jose,367,9.79
35.89.77.142,443,443,true,PDX,North America,US,Portland,294,9.79
54.188.156.26,443,443,true,PDX,North America,US,Portland,379,9.79
63.176.11.74,2096,443,true,FRA,Europe,DE,Frankfurt,172,9.78
47.129.133.167,443,443,true,SIN,Asia Pacific,SG,Singapore,290,9.78
35.92.54.52,443,443,true,PDX,North America,US,Portland,380,9.78
52.24.15.209,443,443,true,SEA,North America,US,Seattle,236,9.77
35.178.225.112,443,443,true,LHR,Europe,GB,London,370,9.77
34.219.18.231,443,443,true,PDX,North America,US,Portland,375,9.77
52.39.81.211,443,443,true,PDX,North America,US,Portland,347,9.75
35.178.206.63,443,443,true,LHR,Europe,GB,London,414,9.74
3.123.255.167,443,443,true,FRA,Europe,DE,Frankfurt,261,9.74
35.86.113.44,443,443,true,SEA,North America,US,Seattle,247,9.73
52.35.114.64,443,443,true,SEA,North America,US,Seattle,287,9.73
54.202.5.57,443,443,true,PDX,North America,US,Portland,298,9.71
51.20.207.0,443,443,true,ARN,Europe,SE,Stockholm,321,9.67
3.123.242.99,443,443,true,FRA,Europe,DE,Frankfurt,257,9.67
54.201.87.208,443,443,true,PDX,North America,US,Portland,253,9.64
34.212.25.147,443,443,true,SEA,North America,US,Seattle,362,9.63
34.215.169.157,443,443,true,SEA,North America,US,Seattle,225,9.62
34.214.172.22,443,443,true,SEA,North America,US,Seattle,265,9.62
44.245.174.185,443,443,true,PDX,North America,US,Portland,371,9.61
35.179.165.208,443,443,true,LHR,Europe,GB,London,382,9.60
16.170.136.116,2083,443,true,CPH,Europe,DK,Copenhagen,207,9.59
35.179.157.29,443,443,true,LHR,Europe,GB,London,337,9.58
54.191.215.165,443,443,true,PDX,North America,US,Portland,413,9.57
35.179.164.243,443,443,true,LHR,Europe,GB,London,333,9.57
54.202.25.130,443,443,true,PDX,North America,US,Portland,288,9.54
34.213.127.242,443,443,true,PDX,North America,US,Portland,219,9.53
35.179.158.166,443,443,true,LHR,Europe,GB,London,328,9.53
54.191.198.145,443,443,true,PDX,North America,US,Portland,272,9.52
13.212.112.167,443,443,true,SIN,Asia Pacific,SG,Singapore,219,9.52
54.201.87.208,443,443,true,PDX,North America,US,Portland,291,9.52
35.163.104.131,443,443,true,PDX,North America,US,Portland,222,9.52
34.220.99.189,443,443,true,SEA,North America,US,Seattle,340,9.52
54.187.147.135,443,443,true,PDX,North America,US,Portland,401,9.51
35.179.184.93,8443,443,true,LHR,Europe,GB,London,258,9.50
35.94.196.29,443,443,true,PDX,North America,US,Portland,276,9.50
